tag,provider,concurrency,jobs,resolved,valid_trajectories,scored_trajectories,gpu_busy_mean,wall_s,rollouts_per_minute,mean_task_wall_s,p95_task_wall_s,generated_tokens,generated_tokens_per_wall_second
scheduling-docker-c1,docker,1,4,4,4,4,65.8781512605042,237.69457624992356,1.0096991012014191,59.42150037607644,68.68032276886515,26495,111.46657369304833
scheduling-docker-c4,docker,4,4,4,4,4,86.34246575342466,73.09834076883271,3.2832482581099836,62.04289683199022,72.02974306032992,18527,253.45308532501528
scheduling-e2b-c1,e2b,1,4,4,4,4,33.925333333333334,375.48705360479653,0.6391698400675144,93.87020967784338,105.24999109979252,20096,53.51982127498654
scheduling-e2b-c4,e2b,4,4,4,4,4,70.69491525423729,117.72419706592336,2.0386632993181895,105.28598319436423,116.06323727457783,19103,162.26910419531401
