provider,tool,n,median_s,p95_s,mean_s,mean_sdk_exec_calls,mean_file_reads,mean_file_writes,mean_docker_cli_calls
docker,shell,344,0.4647720065,1.2541900887999984,0.8550714611104652,0,0,1,7.726744186046512
docker,str_replace_editor,272,0.1770448865,0.2181561242,0.18451867480514705,0,0.6727941176470589,0.5625,4.264705882352941
docker,submit,11,0.00049657,0.0005113749999999999,0.0004903970909090909,0,0,0,0
e2b,shell,334,1.6732308864999998,2.927872877599999,1.919384276221557,5.0359281437125745,0,1,0
e2b,str_replace_editor,241,1.055412034,1.597244787,1.0788964096099585,2.5145228215767634,0.5726141078838174,0.5103734439834025,0
e2b,submit,11,0.00044548,0.0004981300000000001,0.00045556627272727275,0,0,0,0
